millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Battery_voltage,Z_accel_times_burnoutMass
4299,2,4299,4299,-9.321,0.526,-8.286,79.114,-15.548,39.845,0.66,0.34,0.146,-811.0,-9.367,0.366,-8.223,78.573,-15.843,40.207,0.14,0.44,0.46,-811.0,2.346,90639.453,930.446,2.366,90642.62,930.913,4299,-8.286,930.913,0.0,0.0,0.0,0.0,0.0,0.0,3.950,-4.971
4348,2,4348,49,-9.329,0.459,-8.158,78.693,-15.618,40.172,0.12,0.54,0.81,-811.0,-9.267,0.373,-7.993,78.266,-15.375,40.295,0.7,0.61,0.18,-811.0,2.354,90640.742,930.550,2.357,90643.85,930.318,4348,-8.158,930.318,-402919.218,-12.152,2.573,0.0,0.0,0.0,3.957,-4.894
4389,2,4389,41,-9.359,0.376,-8.153,78.453,-15.670,40.239,0.5,0.62,0.48,-811.0,-9.425,0.337,-8.230,77.901,-15.741,40.163,0.0,0.31,0.17,-811.0,2.360,90640.484,930.372,2.376,90634.148,930.17,4389,-8.153,930.17,-737318.562,-7.342,2.282,0.0,0.0,0.0,3.957,-4.891
4425,2,4425,36,-9.442,0.397,-8.179,78.325,-15.679,40.166,0.1,0.28,0.7,-811.0,-9.712,0.531,-8.237,78.310,-15.843,39.915,0.9,0.76,0.25,-811.0,2.366,90640.640,930.376,2.376,90640.695,930.328,4425,-8.179,930.328,-1031299.250,8.638,1.794,0.0,0.0,0.0,3.963,-4.906
4469,2,4469,44,-9.435,0.379,-8.167,78.152,-15.688,40.157,0.0,0.39,0.4,-811.0,-9.403,0.287,-8.151,77.711,-15.638,40.207,0.9,0.14,0.6,-811.0,2.373,90640.570,930.361,2.389,90642.851,930.229,4469,-8.167,930.229,-1390924.875,-2.238,2.72,0.0,0.0,0.0,3.963,-4.899
4505,2,4505,36,-9.455,0.373,-8.154,77.977,-15.618,40.190,0.5,0.36,0.3,-811.0,-9.468,0.337,-8.158,77.696,-15.492,40.368,0.18,0.28,0.49,-811.0,2.379,90640.734,930.326,2.399,90642.851,930.738,4505,-8.154,930.738,-1684724.750,14.124,1.702,0.0,0.0,0.0,3.963,-4.891
4547,2,4547,42,-9.499,0.347,-8.179,77.857,-15.685,40.239,0.8,0.19,0.3,-811.0,-9.489,0.244,-8.115,77.667,-15.711,40.543,0.5,0.26,0.15,-811.0,2.389,90640.234,930.270,2.403,90640.632,930.38,4547,-8.179,930.38,-2027732.375,-16.666,3.0,0.0,0.0,0.0,3.963,-4.906
4583,2,4583,36,-9.561,0.356,-8.92,77.904,-15.708,40.277,0.12,0.15,0.14,-811.0,-9.734,0.380,-7.800,78.135,-15.857,40.353,0.21,0.13,0.36,-811.0,2.394,90642.171,930.193,2.403,90643.875,929.634,4583,-8.92,929.634,-2320627.750,-11.220,2.507,0.0,0.0,0.0,3.963,-4.854
4626,2,4626,43,-9.528,0.366,-8.91,77.810,-15.770,40.286,0.31,0.5,0.38,-811.0,-9.547,0.581,-8.230,77.842,-16.150,39.959,0.104,0.25,0.94,-811.0,2.400,90641.937,930.195,2.403,90639.500,930.338,4626,-8.91,930.338,-2668592.0,16.381,1.670,0.0,0.0,0.0,3.963,-4.854
4662,2,4662,36,-9.601,0.376,-8.57,77.924,-15.960,40.286,0.37,0.54,0.141,-811.0,-9.769,0.337,-7.979,78.281,-16.588,40.207,0.37,0.280,0.512,-811.0,2.404,90641.257,930.157,2.412,90639.437,930.38,4662,-8.57,930.38,-2959265.0,-8.346,2.334,0.0,0.0,0.0,3.963,-4.833
4704,2,4704,42,-9.700,0.381,-7.807,77.901,-16.372,40.198,0.21,0.15,0.211,-811.0,-9.963,0.366,-6.909,77.579,-17.553,39.929,0.60,0.165,0.397,-811.0,2.408,90639.476,930.57,2.417,90633.921,930.240,4704,-7.807,930.240,-3292413.750,4.821,1.873,0.0,0.0,0.0,3.957,-4.683
4740,2,4740,36,-9.551,0.274,-7.670,77.801,-16.904,39.982,0.66,0.9,0.241,-811.0,-8.743,0.294,-7.433,77.170,-18.371,39.462,0.229,0.151,0.165,-811.0,2.411,90639.453,930.38,2.417,90640.523,929.939,4740,-7.670,929.939,-3571018.250,-8.377,2.335,0.0,0.0,0.0,3.963,-4.601
4783,2,4783,43,-9.248,0.70,-7.802,77.497,-17.594,39.587,0.244,0.79,0.249,-811.0,-8.219,0.638,-8.460,76.615,-19.307,38.380,0.908,0.457,0.77,-811.0,2.413,90637.671,930.179,2.417,90635.0,930.343,4783,-7.802,930.343,-3903703.250,9.406,1.779,0.0,0.0,0.0,3.963,-4.680
4819,2,4819,36,-8.994,0.71,-8.18,77.307,-18.477,39.298,0.391,0.145,0.208,-811.0,-8.276,0.129,-9.307,76.892,-20.564,38.512,0.842,0.307,0.107,-811.0,2.416,90637.0,930.161,2.417,90636.85,930.245,4819,-8.18,930.245,-4188484.0,-2.721,2.88,0.0,0.0,0.0,3.963,-4.810
4889,2,4889,70,-8.606,0.209,-7.912,76.769,-19.543,38.938,0.452,0.89,0.58,-811.0,-7.831,0.351,-7.448,75.591,-21.923,38.409,0.341,0.0,0.240,-811.0,2.419,90636.351,930.201,2.426,90636.195,930.240,4889,-7.912,930.240,-4746043.500,0.70,2.2,0.0,0.0,0.0,3.963,-4.746
4925,2,4925,36,-8.621,0.347,-8.121,76.454,-20.192,38.617,0.462,0.165,0.143,-811.0,-10.35,0.323,-7.957,76.1,-20.798,38.322,0.10,0.216,0.612,-811.0,2.417,90637.7,930.223,2.408,90637.218,930.348,4925,-8.121,930.348,-5034649.0,3.11,1.917,0.0,0.0,0.0,3.963,-4.872
4967,2,4967,42,-8.724,0.367,-7.966,76.305,-20.336,38.380,0.479,0.158,0.299,-811.0,-9.260,0.394,-6.658,76.425,-19.87,38.278,0.314,0.186,0.615,-811.0,2.418,90637.210,930.285,2.422,90641.546,930.249,4967,-7.966,930.249,-5372501.0,-2.358,2.76,0.0,0.0,0.0,3.963,-4.779
5003,2,5003,36,-9.250,0.424,-7.814,76.349,-20.140,38.254,0.344,0.20,0.420,-811.0,-10.846,0.926,-7.699,76.834,-18.327,37.752,0.231,0.237,0.526,-811.0,2.422,90639.390,930.228,2.435,90645.921,930.59,5003,-7.814,930.59,-5656558.0,-5.303,2.189,0.0,0.0,0.0,3.963,-4.687
5046,2,5046,43,-9.939,0.430,-7.702,76.413,-19.602,37.988,0.180,0.57,0.435,-811.0,-11.722,0.157,-8.747,77.214,-17.874,37.182,0.26,0.495,0.183,-811.0,2.428,90640.31,930.251,2.449,90639.265,930.359,5046,-7.702,930.359,-5990169.0,6.999,1.826,0.0,0.0,0.0,3.963,-4.620
5082,2,5082,36,-10.601,0.351,-7.472,76.615,-18.830,38.53,0.57,0.307,0.342,-811.0,-11.140,0.43,-6.299,76.600,-18.64,38.731,0.275,1.248,0.225,-811.0,2.434,90640.421,930.357,2.454,90638.125,930.769,5082,-7.472,930.769,-6263320.500,11.374,1.745,0.0,0.0,0.0,3.963,-4.482
5124,2,5124,42,-10.878,0.252,-7.50,76.533,-18.333,38.523,0.49,0.323,0.240,-811.0,-11.420,0.172,-5.847,75.591,-18.313,40.675,0.544,0.296,0.100,-811.0,2.443,90640.578,930.261,2.454,90638.15,929.867,5124,-7.50,929.867,-6568309.500,-21.475,3.811,0.0,0.0,0.0,3.963,-4.229
5160,2,5160,36,-10.998,0.78,-7.86,76.343,-18.406,39.61,0.131,0.407,0.33,-811.0,-9.863,0.473,-6.838,75.475,-19.453,40.967,0.94,0.232,0.751,-811.0,2.451,90639.210,930.205,2.463,90634.710,929.971,5160,-7.86,929.971,-6822777.0,2.888,1.920,0.0,0.0,0.0,3.963,-4.251
5203,2,5203,43,-10.571,0.180,-7.53,76.68,-19.137,39.719,0.144,0.372,0.255,-811.0,-8.707,0.373,-7.534,75.460,-21.981,41.40,0.164,0.410,0.586,-811.0,2.459,90638.46,930.248,2.477,90640.171,930.271,5203,-7.53,930.271,-7126786.0,6.987,1.826,0.0,0.0,0.0,3.963,-4.231
5239,2,5239,36,-10.77,0.208,-7.16,75.542,-20.482,40.295,0.112,0.339,0.409,-811.0,-9.253,0.21,-8.560,74.583,-24.598,40.61,0.189,0.327,0.586,-811.0,2.464,90638.453,930.171,2.472,90641.250,929.976,5239,-7.16,929.976,-7380039.0,-8.209,2.326,0.0,0.0,0.0,3.963,-4.208
5281,2,5281,42,-9.672,0.228,-7.462,74.934,-22.52,40.567,0.82,0.120,0.473,-811.0,-9.116,0.143,-8.532,73.560,-25.913,40.90,0.125,0.153,0.543,-811.0,2.469,90637.539,930.134,2.477,90633.515,930.582,5281,-7.462,930.582,-7684093.500,14.439,1.697,0.0,0.0,0.0,3.963,-4.476
5317,2,5317,36,-9.201,0.147,-7.896,74.492,-23.855,40.496,0.37,0.29,0.566,-811.0,-9.66,0.229,-8.15,73.384,-27.331,40.324,0.321,0.154,0.364,-811.0,2.474,90637.507,930.237,2.482,90637.898,930.386,5317,-7.896,930.386,-7960553.0,-5.457,2.195,0.0,0.0,0.0,3.963,-4.736
5361,2,5361,44,-8.938,0.24,-8.212,73.940,-25.501,40.339,0.96,0.49,0.482,-811.0,-8.549,0.387,-8.417,72.712,-27.681,40.178,0.391,0.163,0.330,-811.0,2.479,90638.578,930.58,2.486,90640.54,929.74,5361,-8.212,929.74,-8314935.500,-29.814,10.472,0.0,0.0,0.0,3.970,-4.926
5412,2,5412,51,-8.924,0.176,-8.276,73.583,-26.635,40.374,0.268,0.33,0.383,-811.0,-8.635,0.387,-7.857,73.677,-27.652,41.216,0.694,0.6,0.91,-811.0,2.481,90638.796,930.81,2.486,90641.250,930.386,5412,-8.276,930.386,-8735399.0,25.722,1.564,0.0,0.0,0.0,3.976,-4.965
5457,2,5457,45,-8.792,0.219,-8.31,73.314,-27.59,40.874,0.398,0.20,0.292,-811.0,-8.592,0.236,-7.333,73.238,-26.717,42.560,0.458,0.258,0.133,-811.0,2.485,90638.789,930.203,2.495,90641.195,930.588,5457,-8.31,930.588,-9102326.0,4.488,1.881,0.0,0.0,0.0,3.976,-4.817
5494,2,5494,37,-8.770,0.318,-7.841,73.142,-27.82,41.628,0.498,0.43,0.179,-811.0,-9.8,0.351,-7.584,72.698,-26.30,43.861,0.627,0.163,0.23,-811.0,2.488,90639.421,930.185,2.491,90636.695,930.490,5494,-7.841,930.490,-9395974.0,-2.647,2.86,0.0,0.0,0.0,3.976,-4.704
5537,2,5537,43,-8.776,0.312,-7.530,73.86,-26.603,42.513,0.470,0.15,0.123,-811.0,-9.95,0.200,-6.457,73.107,-24.934,44.752,0.182,0.137,0.87,-811.0,2.492,90639.625,930.4,2.500,90638.921,929.484,5537,-7.530,929.484,-9726467.0,-23.393,4.353,0.0,0.0,0.0,3.976,-4.517
5573,2,5573,36,-9.19,0.340,-7.372,73.60,-26.94,43.534,0.398,0.95,0.69,-811.0,-9.762,0.524,-7.627,72.581,-25.138,45.279,0.29,0.240,0.58,-811.0,2.494,90640.500,930.329,2.500,90644.437,930.697,5573,-7.372,930.697,-9994709.0,33.691,1.497,0.0,0.0,0.0,3.976,-4.422
5616,2,5616,43,-9.112,0.393,-7.518,72.934,-25.475,44.530,0.376,0.65,0.80,-811.0,-9.102,0.653,-8.589,73.48,-24.554,46.199,0.585,0.144,0.146,-811.0,2.499,90640.906,930.311,2.509,90643.296,930.297,5616,-7.518,930.297,-10314862.0,-9.291,2.386,0.0,0.0,0.0,3.976,-4.510
5652,2,5652,36,-9.854,-1.523,-8.247,72.914,-24.872,45.404,0.427,0.113,0.132,-811.0,-12.303,-9.346,-10.980,73.136,-23.706,46.930,0.712,0.497,0.392,-811.0,2.502,90641.312,930.274,2.509,90643.242,930.401,5652,-8.247,930.401,-10598661.0,2.888,1.920,0.0,0.0,0.0,3.983,-4.947
5695,2,5695,43,-9.767,-1.330,-8.496,72.817,-23.902,46.518,0.619,0.245,0.44,-811.0,-8.571,1.313,-8.826,72.215,-21.178,49.429,1.588,0.494,0.463,-811.0,2.508,90641.515,930.216,2.523,90637.664,930.199,5695,-8.496,930.199,-10958664.0,-4.696,2.164,0.0,0.0,0.0,3.976,-5.96
5731,2,5731,36,-9.280,-1.379,-8.984,72.449,-22.265,48.167,1.181,0.445,0.5,-811.0,-6.661,0.43,-8.898,71.265,-16.749,52.996,2.990,1.136,0.105,-811.0,2.512,90641.265,930.339,2.518,90637.664,930.101,5731,-8.984,930.101,-11273319.0,-2.721,2.88,0.0,0.0,0.0,3.983,-5.389
5773,2,5773,42,-9.586,-1.748,-9.662,72.142,-18.880,50.482,1.863,0.521,0.228,-811.0,-11.291,-1.320,-11.15,71.46,-8.213,56.854,3.438,0.621,1.111,-811.0,2.516,90639.460,930.180,2.518,90635.445,929.899,5773,-9.662,929.899,-11664898.0,-4.821,2.169,0.0,0.0,0.0,3.976,-5.796
5815,2,5815,42,-8.997,-2.513,-8.540,70.722,-12.946,53.817,2.394,1.12,0.600,-811.0,-6.159,-3.172,-2.983,65.945,5.115,62.876,3.240,2.312,1.714,-811.0,2.518,90638.117,930.182,2.523,90636.578,930.308,5815,-8.540,930.308,-12047160.0,9.735,1.773,0.0,0.0,0.0,3.976,-5.123
5851,2,5851,36,-8.687,0.999,-7.830,69.225,-5.735,57.339,2.876,0.702,0.752,-811.0,-10.753,-1.773,-7.426,65.653,12.350,64.542,3.123,-1.55,0.365,-811.0,2.520,90637.656,930.142,2.518,90640.960,930.205,5851,-7.830,930.205,-12341838.0,-2.858,2.93,0.0,0.0,0.0,3.976,-4.697
5893,2,5893,42,-8.734,-2.58,-7.281,68.152,2.627,59.874,2.953,0.557,0.700,-811.0,-8.807,-3.984,-6.84,66.851,20.637,62.101,1.973,0.229,0.204,-811.0,2.520,90637.656,930.82,2.523,90637.664,929.899,5893,-7.281,929.899,-12659188.0,-7.284,2.279,0.0,0.0,0.0,3.983,-4.368
5957,2,5957,64,-9.118,-2.927,-6.493,66.921,11.943,60.993,2.556,0.607,0.839,-811.0,-8.578,-4.386,-4.957,65.112,29.830,58.593,1.6,1.390,0.801,-811.0,2.521,90637.0,930.122,2.523,90634.359,930.297,5957,-6.493,930.297,-13099997.0,6.225,1.842,0.0,0.0,0.0,3.976,-3.895
5998,2,5998,41,-9.568,-4.891,-5.363,65.308,20.64,61.265,1.892,0.435,0.487,-811.0,-13.545,-11.140,-5.366,62.978,32.388,58.213,0.118,0.242,0.646,-811.0,2.519,90637.687,930.262,2.509,90638.859,930.599,5998,-5.363,930.599,-13343070.0,7.355,1.819,0.0,0.0,0.0,3.976,-3.217
6034,2,6034,36,-10.266,-5.223,-5.471,65.156,25.802,59.693,1.474,0.467,0.123,-811.0,-9.647,-4.831,-3.521,65.185,33.805,55.13,1.147,-2.198,0.106,-811.0,2.517,90639.15,930.321,2.514,90643.242,930.604,6034,-5.471,930.604,-13538100.0,0.137,1.995,0.0,0.0,0.0,3.976,-3.282
6077,2,6077,43,-9.764,-5.672,-5.264,65.814,30.116,57.255,0.489,0.482,0.119,-811.0,-8.240,-4.19,-6.393,68.941,33.922,52.353,-1.796,-1.130,0.343,-811.0,2.517,90638.804,930.260,2.514,90639.882,929.899,6077,-5.264,929.899,-13768922.0,-16.394,2.967,0.0,0.0,0.0,3.976,-3.158
6113,2,6113,36,-9.630,-5.794,-5.780,66.351,32.385,55.647,0.194,0.316,0.36,-811.0,-8.140,-4.594,-8.661,69.541,31.978,54.63,0.496,0.598,0.209,-811.0,2.518,90638.789,930.362,2.532,90637.601,930.412,6113,-5.780,930.412,-13967725.0,14.246,1.700,0.0,0.0,0.0,3.983,-3.467
6156,2,6156,43,-8.662,-5.857,-6.34,67.3,33.89,54.519,0.119,0.331,0.141,-811.0,-3.739,-4.701,-6.227,68.371,33.352,52.952,0.631,1.314,0.89,-811.0,2.521,90637.890,930.283,2.537,90629.867,929.904,6156,-6.34,929.904,-14221729.0,-11.812,2.548,0.0,0.0,0.0,3.989,-3.619
6192,2,6192,36,-6.999,-4.246,-6.153,67.433,33.51,54.185,0.389,0.284,0.83,-811.0,-5.225,-3.86,-5.962,65.127,32.198,56.547,-2.426,2.840,0.356,-811.0,2.528,90637.625,930.186,2.541,90637.546,930.112,6192,-6.153,930.112,-14441102.0,5.777,1.852,0.0,0.0,0.0,3.983,-3.691
6235,2,6235,43,-6.965,-3.979,-6.642,66.670,32.212,55.343,0.873,0.784,0.34,-811.0,-9.482,-3.495,-5.969,61.370,29.611,60.800,-1.273,0.298,0.137,-811.0,2.534,90637.359,930.47,2.546,90641.921,929.910,6235,-6.642,929.910,-14716219.0,-4.696,2.164,0.0,0.0,0.0,3.976,-3.985
6271,2,6271,36,-6.576,-4.83,-5.933,65.328,31.397,56.872,0.262,1.3,0.66,-811.0,-6.295,-4.536,-2.846,62.233,29.845,59.997,1.259,0.35,0.184,-811.0,2.540,90637.554,930.172,2.546,90640.843,930.522,6271,-5.933,930.522,-14942596.0,16.998,1.662,0.0,0.0,0.0,3.976,-3.559
6313,2,6313,42,-6.848,-4.608,-5.390,63.624,31.517,57.813,0.174,1.333,0.121,-811.0,-9.497,-7.221,-5.947,61.20,32.578,58.769,0.937,2.251,0.481,-811.0,2.544,90638.648,930.152,2.551,90643.62,930.314,6313,-5.390,930.314,-15180412.0,-4.939,2.173,0.0,0.0,0.0,3.976,-3.234
6349,2,6349,36,-8.87,-4.80,-4.998,62.5,31.394,58.845,0.182,1.298,0.167,-811.0,-9.934,-2.60,-4.268,60.274,32.738,58.111,0.592,1.135,0.319,-811.0,2.545,90638.851,930.275,2.541,90630.882,930.516,6349,-4.998,930.516,-15367431.0,5.594,1.856,0.0,0.0,0.0,3.983,-2.998
6393,2,6393,44,-8.141,-4.180,-4.592,60.938,31.663,59.38,0.307,0.643,0.86,-811.0,-5.498,-3.589,-3.930,59.792,33.542,57.512,0.20,0.431,0.45,-811.0,2.545,90638.187,930.315,2.541,90634.242,930.314,6393,-4.592,930.314,-15578448.0,-4.577,2.159,0.0,0.0,0.0,3.976,-2.755
6456,2,6456,63,-9.973,-3.682,-5.478,61.613,33.121,56.799,0.738,0.858,0.322,-811.0,-18.642,-1.4,-10.398,64.747,36.904,49.605,0.883,-7.212,-1.39,-811.0,2.546,90638.0,930.334,2.551,90640.960,930.3,6456,-5.478,930.3,-15895691.0,-4.943,2.174,0.0,0.0,0.0,3.970,-3.286
6498,2,6498,42,-9.194,-3.955,-4.449,64.19,33.449,53.154,0.126,-1.0,0.785,-811.0,-2.397,-5.900,2.300,74.261,31.482,41.771,-3.65,0.743,-2.131,-811.0,2.542,90638.15,930.311,2.528,90640.960,930.407,6498,-4.449,930.407,-16104171.0,9.617,1.776,0.0,0.0,0.0,3.970,-2.669
6534,2,6534,36,-8.614,-2.297,-4.927,66.959,32.569,49.640,0.351,-1.614,0.707,-811.0,-6.597,1.69,-8.338,75.723,28.178,41.201,0.186,0.821,0.94,-811.0,2.539,90637.820,930.230,2.532,90642.39,929.910,6534,-4.927,929.910,-16272945.0,-13.804,2.706,0.0,0.0,0.0,3.963,-2.955
6576,2,6576,42,-9.327,-2.243,-5.947,70.584,31.753,45.752,0.251,-2.271,0.663,-811.0,-13.502,-1.794,-9.372,78.398,28.661,38.672,1.93,-2.151,0.98,-811.0,2.540,90639.609,930.169,2.546,90639.820,930.210,6576,-5.947,930.210,-16501324.0,7.154,1.823,0.0,0.0,0.0,3.963,-3.568
6613,2,6613,37,-10.454,-1.925,-7.349,74.469,30.859,41.69,0.362,-2.226,0.686,-811.0,-11.133,-1.995,-10.937,79.216,29.70,34.98,0.539,0.204,0.68,-811.0,2.539,90640.265,930.88,2.537,90637.546,929.910,6613,-7.349,929.910,-16747322.0,-8.120,2.322,0.0,0.0,0.0,3.963,-4.408
6655,2,6655,42,-8.325,-2.42,-7.152,77.369,29.169,38.59,0.657,0.985,0.553,-811.0,-7.996,-1.593,-9.415,79.245,28.456,34.551,0.591,-1.7,0.374,-811.0,2.538,90640.242,930.130,2.546,90640.843,930.210,6655,-7.152,930.210,-17051858.0,7.154,1.823,0.0,0.0,0.0,3.963,-4.290
6691,2,6691,36,-11.221,-2.388,-5.989,78.745,27.933,36.39,0.433,-1.84,0.190,-811.0,-16.876,-7.630,8.114,81.145,25.299,31.672,-1.941,-1.236,0.317,-811.0,2.540,90640.445,929.990,2.541,90641.984,929.707,6691,-5.989,929.707,-17288416.0,-13.971,2.721,0.0,0.0,0.0,3.963,-3.593
6737,2,6737,46,-12.493,-2.439,-6.931,80.8,26.898,33.431,0.407,0.956,0.166,-811.0,-12.957,0.818,-13.47,82.37,23.4,28.164,0.59,0.182,0.25,-811.0,2.543,90640.226,929.969,2.546,90640.906,929.806,6737,-6.931,929.806,-17585600.0,2.141,1.939,0.0,0.0,0.0,3.963,-4.158
6774,2,6774,37,-11.610,-2.390,-7.188,80.771,25.711,31.128,0.625,0.555,0.82,-811.0,-9.87,-1.550,-10.657,82.212,22.727,27.155,0.4,0.145,0.323,-811.0,2.541,90639.976,929.969,2.537,90638.625,930.210,6774,-7.188,930.210,-17846818.0,10.931,1.753,0.0,0.0,0.0,3.963,-4.312
6818,2,6818,44,-11.331,-2.264,-7.214,81.546,24.484,29.760,0.522,0.484,0.90,-811.0,-9.741,-1.363,-11.66,83.89,22.931,27.258,0.22,0.151,0.111,-811.0,2.543,90640.890,929.968,2.546,90642.101,929.904,6818,-7.214,929.904,-18163678.0,-6.966,2.264,0.0,0.0,0.0,3.963,-4.327
6854,2,6854,36,-11.631,-2.156,-7.512,82.277,23.349,28.304,0.407,0.260,0.16,-811.0,-9.497,-1.55,-10.908,82.899,22.785,27.272,0.18,0.109,0.4,-811.0,2.542,90640.234,929.908,2.541,90637.546,929.910,6854,-7.512,929.910,-18428766.0,0.167,1.994,0.0,0.0,0.0,3.963,-4.506
6896,2,6896,42,-10.194,0.903,-11.340,82.508,22.689,27.395,0.20,0.23,0.56,-811.0,-9.690,-1.363,-11.23,82.300,21.996,27.126,0.6,0.47,0.49,-811.0,2.542,90640.7,929.948,2.541,90640.843,929.910,6896,-11.340,929.910,-18824686.0,0.0,2.0,0.0,0.0,0.0,3.963,-6.803
6960,2,6960,64,-9.540,-1.325,-10.926,82.575,22.458,27.106,0.11,0.14,0.54,-811.0,-9.683,-1.292,-10.980,82.373,21.850,26.717,0.12,0.4,0.12,-811.0,2.541,90640.15,930.28,2.541,90640.960,930.205,6960,-10.926,930.205,-19537244.0,4.609,1.878,0.0,0.0,0.0,3.963,-6.555
7001,2,7001,41,-9.657,-1.293,-11.0,82.695,22.338,27.68,0.13,0.46,0.10,-811.0,-9.676,-1.392,-11.23,82.812,22.128,26.965,0.9,0.14,0.0,-811.0,2.539,90639.367,930.46,2.523,90635.382,930.303,7001,-11.0,930.303,-19986750.0,2.389,1.933,0.0,0.0,0.0,3.963,-6.599
7037,2,7037,36,-9.655,-1.276,-10.981,82.546,22.183,27.9,0.11,0.19,0.12,-811.0,-9.726,-1.277,-10.972,82.344,22.157,26.965,0.8,0.15,0.6,-811.0,2.537,90639.351,930.108,2.537,90642.39,930.210,7037,-10.981,930.210,-20382420.0,-2.568,2.83,0.0,0.0,0.0,3.963,-6.587
7080,2,7080,43,-9.679,-1.333,-10.997,82.513,22.209,26.951,0.10,0.0,0.14,-811.0,-9.619,-1.342,-10.987,82.738,22.917,26.980,0.15,0.14,0.5,-811.0,2.536,90639.382,930.167,2.537,90637.664,930.205,7080,-10.997,930.205,-20854966.0,0.127,2.3,0.0,0.0,0.0,3.963,-6.597
7116,2,7116,36,-9.680,-1.300,-10.987,82.730,22.256,26.878,0.11,0.12,0.6,-811.0,-9.698,-1.198,-10.972,83.382,22.230,26.761,0.12,0.14,0.6,-811.0,2.536,90639.164,930.267,2.541,90639.765,930.412,7116,-10.987,930.412,-21250688.0,5.747,1.852,0.0,0.0,0.0,3.963,-6.591
7158,2,7158,42,-9.679,-1.296,-10.978,82.920,22.318,26.878,0.11,0.15,0.4,-811.0,-9.676,-1.270,-10.937,83.323,22.157,26.717,0.11,0.17,0.5,-811.0,2.536,90638.257,930.248,2.541,90636.460,930.112,7158,-10.978,930.112,-21711972.0,-7.141,2.272,0.0,0.0,0.0,3.957,-6.586
7194,2,7194,36,-9.676,-1.276,-10.955,82.981,22.426,26.825,0.12,0.15,0.6,-811.0,-9.662,-1.292,-10.908,83.118,22.668,26.702,0.12,0.16,0.7,-811.0,2.539,90639.812,930.251,2.537,90643.125,930.314,7194,-10.955,930.314,-22106790.0,5.625,1.855,0.0,0.0,0.0,3.963,-6.572
7237,2,7237,43,-9.657,-1.892,-11.148,83.177,22.396,26.872,0.17,0.31,0.20,-811.0,-9.633,-4.357,-11.934,83.323,22.11,27.199,0.33,0.93,0.79,-811.0,2.540,90639.367,930.312,2.541,90639.820,930.516,7237,-11.148,930.516,-22582020.0,4.684,1.876,0.0,0.0,0.0,3.963,-6.687
7278,2,7278,41,-9.679,-1.879,-11.158,83.344,22.221,26.793,0.16,0.27,0.21,-811.0,-9.726,-1.277,-11.37,83.572,22.40,26.585,0.9,0.1,0.7,-811.0,2.540,90638.898,930.253,2.541,90635.328,929.910,7278,-11.158,929.910,-23039296.0,-14.777,2.796,0.0,0.0,0.0,3.963,-6.693
7314,2,7314,36,-9.655,-1.896,-11.160,83.422,22.201,26.828,0.17,0.29,0.20,-811.0,-9.576,-1.284,-10.987,83.776,22.128,26.936,0.17,0.23,0.0,-811.0,2.540,90638.23,930.273,2.537,90635.382,930.511,7314,-11.160,930.511,-23441040.0,16.693,1.666,0.0,0.0,0.0,3.963,-6.695
7357,2,7357,43,-9.655,-1.899,-11.155,83.566,22.180,26.863,0.16,0.28,0.20,-811.0,-9.676,-1.284,-10.908,84.39,22.54,26.892,0.10,0.9,0.5,-811.0,2.539,90638.250,930.393,2.537,90637.601,930.713,7357,-11.155,930.713,-23920840.0,4.709,1.876,0.0,0.0,0.0,3.963,-6.692
7394,2,7394,37,-9.649,-1.916,-11.169,83.536,22.52,26.913,0.16,0.27,0.19,-811.0,-9.633,-1.378,-10.980,82.972,22.25,26.951,0.12,0.13,0.2,-811.0,2.538,90636.484,930.411,2.532,90634.304,930.407,7394,-11.169,930.407,-24333850.0,-8.284,2.330,0.0,0.0,0.0,3.970,-6.700
7437,2,7437,43,-9.655,-1.287,-10.975,83.595,22.54,26.793,0.12,0.13,0.2,-811.0,-9.662,-1.213,-10.965,83.615,22.25,26.600,0.13,0.22,0.0,-811.0,2.535,90636.289,930.288,2.528,90638.804,929.899,7437,-10.975,929.899,-24809976.0,-11.812,2.548,0.0,0.0,0.0,3.970,-6.584
7501,2,7501,64,-9.642,-1.296,-10.968,83.615,22.54,26.860,0.14,0.15,0.2,-811.0,-9.662,-1.320,-11.1,83.674,22.40,26.921,0.17,0.8,0.3,-811.0,2.530,90637.0,930.404,2.518,90638.921,930.490,7501,-10.968,930.490,-25512196.0,9.234,1.783,0.0,0.0,0.0,3.976,-6.580
